@relation RetuersData_Test

@attribute text string
@attribute class {earn,acq}

@data'AB Astra ASTS.ST said it was proposing a two-for-one share split and the issue in June of a new series of foreign-targeted shares with lower voting rights as part of a strategy to internationalise the company.     The deal, which requires Swedish government approval, will raise the percentage of foreign voting rights allowed in the medical group to 22.5 pct from 20 pct, Astra said.     An extraordinary meeting of Astra\'s board proposed the creation of B free shares open to foreign buyers with one tenth of a voting right per share. At present, Astra stock consists of one series of restricted shares and one of free shares.  \n',earn
'Dividend on 1986 business unchanged at 10 marks per ordinary share. Company also set dividend of 11 marks for new preference shares, which were issued last year.     (Note: Company has said profit will match 1985 level, despite provisions of 480 mln marks connected with alleged currency fraud. Group net profit in 1985 was 596 mln marks, parent company net was 477 mln marks. Company\'s full name is Volkswagen AG VOWG.F).  \n',earn
'Losses for Volkswagen AG VOWG.F, VW, linked to an alleged foreign currency fraud will not exceed the 480 mln marks provision already made, a VW spokesman said.     The spokesman was commenting after VW had confirmed it would pay an unchanged 10 mark dividend for ordinary shares on 1986 business, despite the provision.     One West German newspaper today quoted foreign currency dealers in Frankfurt as speculating that the total losses from the currency affair could be as high as 1.5 billion marks, but the VW spokesman described 480 mln marks as an \"upper limit.\"     VW said in a statement following today\'s supervisory board meeting that it had discussed the foreign currency scandal in detail, and was setting up a new probe into its foreign currency activities to be carried out by an unnamed auditing company.     VW has said computer programs were erased and documents were faked in the alleged fraud in which it believes transactions intended to protect it against possible foreign currency losses were not completed.     VW\'s former foreign currency chief Burkhard Junger was arrested on Monday on suspicion of embezzlement and of having evaded justice.     Earlier VW had said that its 1986 results would match 1985 profits. VW\'s group net profit in 1985 was 596 mln marks and parent company net was 477 mln marks. It also said it recommend an unchanged dividend to the supervisory board. The company has also set a dividend of 11 marks for new preference shares, which were issued last year. Analysts have described the held dividend as a move to reassure worried shareholders.     VW increased nominal capital by 300 marks last year to 1.5 billion marks, with the result that its total dividend payment on 1986 will be 306 mln marks compared with 240 mln on 1985, since the new capital was in preference shares.     The share analysts say VW will have to dig into reserves in order to maintain the disclosed 1986 profit at 1985 levels. At the end of 1985, VW had parent company reserves of slightly less than three billion marks.  \n',earn
'Net 33.6 mln vs 11.1 mln     Revs 319.6 mln vs 295.1 mln     Nine mths     Net 97.3 mln vs 30.0 mln     Revs 997.8 mln vs 860.0 mln     NOTE: Company does not report per share earnings as it is a privately-owned concern.     Net amounts reported are before taxes, profit sharing, and contribution to employee stock ownership trust.  \n',earn
'Clark Copy International Corp said it bought a Norwegian drafting machines company for three mln U.S. dlrs.     Clark Copy said its majority-owned Norwegian subsidiary, Interactive Computer Aids Co of Norway, purchased Kongsberg Drafting Systems, a division of Norwegian state-owned Kongsberg Vappenfabrikk.     Kongsberg Drafting\'s annual worldwide sales are about 15 mln dlrs, Clark Copy said.  \n',acq
'(Suburban Bancorp Inc) and (Woodstock State Bancorp Inc) said they agreed to a merger under which Suburban will purchase Woodstock\'s shares for a total of more than 18 mln dlrs in cash and Suburban Bancorp shares.     Woodstock is the holding company for the 110 mln dlr State Bank of Woodstock. The merger will bring Suburban\'s assets to 661 mln dlrs and its total banks to 13.     The merger is subject to regulatory and shareholder approval.  \n',acq
'ALMI Group L.P. said its co-chairmen, Michael Landes and Albert Schwartz, and its vice chairman, Michael Spiegler, have acquired a 50 pct equity interest in Clearview Baking Corp for undisclosed terms.     A. Dale Mayo, Clearview\'s president and chief executive officer, will retain a 50 pct interest in the company, ALMI Group said.  \n',acq
'The American Stock Exchange said, as previously reported, that Bear Stearns and Co BSC has purchased W. Damm, M. Frank and Co, a specialist unit on the Amex trading floor.     Amex said the unit, which trades stocks and options is small in comparison to other specialist units. The personel and operations remain the same, the exchange added.     The price was not disclosed.     A specialist unit is authorized by a stock exchange to deal as an agent for other brokers to keep a stable market in one or more particular stocks.  \n',acq
'Anheuser-Busch Companies Inc BUD.N has joined several other foreign bidders for sequestered shares of the Philippines\' largest food and beverage maker San Miguel Corp SANM.MN, the head of a government panel which controls the shares tolds.     Ramon Diaz, Secretary of the Presidential Commission on Good Government (PCGG), said Anheuser-Busch had told the government it was interested in buying 14 mln \"B\" shares of San Miguel. He did not disclose the offered price.     Diaz said Australian brewer Alan Bond\'s Bond Corp Holdings Ltd had offered 150 pesos per share for the \"B\" shares.     Diaz said New York investment bank Allen and Co Inc had earlier said it was interested in buying all 38.1 mln sequestered shares. He tolds last month Elders IXL Ltd ELXA.S, the Melbourne-based brewing company, had also bid for the \"B\" shares.     The Hong Kong Economic Journal last month quoted a spokesman of Australian stock broker Jacksons Ltd as saying that Barwon Farmlands Ltd, an Australian firm owned 30 pct by Ariadne Australia Ltd, was planning a Filipino branch in order to buy the entire block of 38.1 mln shares.     Anheuser-Busch last year made a 150 mln dlr bid to buy San Miguel Brewery Ltd, a Hong Kong listed company which is 69.65 pct owned by Neptunia Corp Ltd, a San Miguel Corp subsidiary.     The talks broke down last June after the two sides said they could not agree on the terms of the sale.  \n',acq
'Australia\'s Ansett Airlines will exercise an option to acquire 20 pct of America West Airlines Inc AWAL.O for about 31.5 mln U.S. Dlrs, Ansett Transport Industries Ltd managing director Peter Abeles said.     Exercise, involving the purchase of about three mln new America West shares for 10.50 U.S. Dlrs each, was scheduled to be finalised in July or August, he said in a statement.     Abeles said Ansett would become the largest single shareholder in what he said was the fastest growing airline in the United States. America West is based in Phoenix, Arizona.     Under the terms of the option agreement, Ansett would have the right to maintain its 20 pct position in the event of future stock sales, but could not go beyond 20 pct unless so requested by America West, Abeles said.     America West would retain the right of first refusal if Ansett offered any of the shares for sale.     In addition, Ansett would gain one board seat, he said.     Ansett Transport Industries wholly owns Ansett Airlines, one of Australia\'s two major domestic airlines, and is in turn owned 50/50 by Abeles\' international transport group TNT Ltd TNTA.S and Rupert Murdoch\'s News Corp Ltd NCPA.S.  \n',acq
'State-owned Bank of China has bought a three to five pct share of BAII Holding SA, a financial institution registered in Luxembourg, the China Daily Business Weekly said.     It said the institution is 50 pct owned by Arab interests and has set up a wholly owned commercial banking branch in Hong Kong but gave no more details.  \n',acq
'Baring Capital Investors Ltd (BCI), a unit of the U.K. Merchant bank Baring Brothers and Co Ltd, said it has raised 61 mln European Currency Units (ECUs) which will be invested in management buy-outs and development capital opportunities in the U.K. And continental Europe.     The funds were raised through BCI\'s first such fund - the Baring Euaring European Capital Trust - from investors in nine European countries. It expects to raise another 40 mln ECUs soon through a French fund and a fund for U.S. Investors.     BCI was set up last year by Baring Brothers to advise buy-out and development capital investors.     BCI said the new fund is structured as a Guernsey-based unit trust, which will be listed on the Luxembourg Stock Exchange. It will be advised by BCI and managed by a company owned jointly by Barings and the management of BCI.     Individual investments are expected to range between one and 10 mln ECUs and are likely to be concentrated in the U.K., Germany and France.     BCI said its aims are to invest in established companies, principally family companies with succession-issues and corporate spin-offs.  \n',acq
'The Bell Group Ltd BLLA.S said it now holds 14.9 pct of the issued capital of Standard Chartered Plc STCH.L after acquiring further shares.     The one-sentence statement from Bell\'s headquarters confirmed what its brokers Warburg Securities tolds in London yesterday.     Bell previously held 10 pct of Standard.     Bell chairman Robert Holmes a Court, who is also a director of Standard, was not available for comment on his company\'s intentions in boosting its holding and other company officials contacted here bys declined to comment.  \n',acq
'Blue Arrow PLC said it signed an agreement to acquire Richards Consultants Ltd for 29 mln dlrs in cash and securities.     Richards is a privately-owned New York-based executive recruitment firm.     As part of the agreement, Blue Arrow said the four principal shareholders who manage Richards will enter into long-term service contracts with it. The agreement is subject to approval of Blue Arrow shareholders.  \n',acq
'Blue Arrow Plc said it had agreed terms to acquire a group of U.S. Companies collectively known as the Richards Companies, which specialise in executive recruitment and management consultancy on personnel matters.     The total consideration will be 29 mln U.S. Dlrs of which 50 pct will be payable in cash and 50 pct by the issue of 1.36 mln new ordinary shares in Blue Arrow.     The Richard Companies made a pre-tax profit of 3.6 mln dlrs in the year to end-1986, on turnover of 7.1 mln dlrs with net tangible assets at the end of 1986 of 3.4 mln dlrs.     Blue Arrow shares were trading 9p lower at 670 this morning.  \n',acq
'Bond Corp Holdings Ltd BONA.S and Atlas Consolidated Mining and Development Corp ATLC.MN are still holding talks on a bail-out package for the troubled mining firm, an Atlas statement said.     Atlas, the Philippines\' biggest copper producer, said it had been hit by depressed world copper prices. It reported a net loss of 976.38 mln pesos in the year ending December 1986, compared with a net loss of 1.53 billion in 1985.     The company said it had been able to cut its losses because its scaled-down copper operations in the central island of Cebu started in the second half of 1986.     Atlas said negotiations were continuing on the acquisition by Bond of the company\'s existing bank loans and their restructuring into a gold loan.     A memorandum of understanding signed by the two sides in October last year said Bond would acquire Atlas\' total loans of 275 mln dlrs, to be repaid by the mining company in gold.     Atlas said the two sides were also discussing equity infusion into Atlas and the creation of a development fund for further exploration and development of the company\'s gold properties in the central province of Masbate.     Wilson Banks, general manager of Bond Corp International Ltd in Hong Kong, tolds the Atlas statement on the negotiations was \"reasonably accurate.\"     Banks said Bond Corp was seriously considering several investments in the Philippines but did not give details.     In its statement, Atlas said development of the pre-World War Two underground mines in Masbate had been accelerated and the ore tonnage had increased, extending the operation\'s life at least until 1993.  \n',acq
'Bond Corp Holdings Ltd BONA.S said it has agreed to acquire an 80 pct stake in Merlin International Petroleum Corp from Crowley Maritime Corp for 90.8 mln U.S. Dlrs.     Of this total, 7.8 mln dlrs is due on exchange of contracts on April 30 and 69 mln on July 7, subject to any regulatory approvals being obtained, Bond said in a statement.     The balance of 14 mln dlrs will be paid as required by Merlin for its exploration and production commitments, it said.     Bond said Merlin has a 6.25 pct working interest plus a 2.5 pct reversionary interest in the Papua New Guinea permit, PPL-17, the site of the Iagifu oil discovery.     Merlin also has a 12.5 pct stake in the adjacent Papuan Basin permit, PPL-18, which contains the Juha gas and condensate discovery.     In addition to Papua New Guinea, Merlin has petroleum exploration and production interests in the U.S., Bond added.  \n',acq
'Borg-Warner BOR Corp, facing an unwanted offer from GAF Corp GAF, agreed to a 4.23 billion dlr buyout offer from a company to be formed by Merrill Lynch Capital Partners Inc.     Borg-Warner and Merrill said yesterday they entered a definitive merger agreement, under which a subsidiary of the new company, AV Holdings Corp, will begin a 48.50 dlr per share cash tender offer today for 77.6 mln shares or 89 pct of Borg-Warner common stock.     The offer will be followed by a merger in which each remaining share will be converted into 19.75 dlrs cash and 54.25 dlrs principal amount of AV Holdings junior subordinated discount debentures.     As a result of the merger, Borg-Warner will become a wholly owned subsidiary of AV Holdings. A Borg-Warner spokeswoman said members of management do not plan to participate in the transaction, but they will retain their positions with the company.     A spokesman for GAF was unavailable for comment. GAF holds 19.9 pct of Borg-Warner\'s shares.     GAF had said it would offer 46 dlrs per share.     Borg-Warner\'s spokeswoman said the company still plans to sell its financial services unit, which includes Wells Fargo security guards, and the Chilton Corp, a credit rating service.     Borg-Warner has been the focus of takeover speculation for about a year. Corporate raider Irwin Jacobs last year proposed a takeover of the firm and until recently held 10 pct of the stock. Following the GAF offer, analysts had calculated breakup values for the company in the low 50 dlrs per share range and speculated an offer would have to be sweetened.     In its statement, Borg-Warner said its board endorsed the Merrill offer and it recommended that shareholders tender their shares. The board received opinions on the offer from its advisors, First Boston Corp and Goldman, Sachs and Co.     James Burke, president of Merrill Lynch Capital Partners, said, \"We are very pleased to have entered into this transaction with Borg-Warner. We are looking forward to working with the employees of Borg-Warner and to Borg-Warner maintaining its strong presence in the Chicago community.\"     Merrill Lynch will be the dealer-manager for the offer, which expires at midnight EDT May 8 (0400 GMT, May 9), subject to conditions, including the completion of necessary financing arrangements.     The offer is also subject to a minimum 44.25 mln shares, or 51 pct of the outstanding shares, being tendered.     Merrill Lynch and certain affiliates have committed to provide 200 mln dlrs in AV Holdings equity and 870 mln in subordinated financing and forward underwriting commitments.     Merrill Lynch said that following discussions with commercial banks it is confident it can obtain the rest of the financing required to complete the transaction.     The junior subordinated discount debentures to be issued in the merger will carry a 13 pct coupon and will begin paying cash interest after five years.     The debentures will be redeemable at the company\'s option for the first six years at 105 pct, during the seventh year at 102.5 pct and after that at 100 pct of the principal amount.     The junior subordinated discount debentures have a maturity of 20 years and are entitled to a sinking fund commencing in the 16th year designed to retire 60 pct of the issue before maturity.     Borg-Warner will also redeem all of its outstanding 4.50 dlrs cumulative preferred stock, series A, for 100 dlrs per share. Holders who wish to participate in the offer must first convert their preferred stock into Borg-Warner common stock.     The board of Borg-Warner has also taken steps to redeem its poison pill or share purchase rights for five cents per right, effective immediately.  \n',acq
'The British Printing and Communication Corp PlcBPL.L is considering selling its specialist packaging and labelling operations, a spokeswoman said.     She gave no dates or prices for the transaction but said the units would be sold by negotiation.     She declined to give any turnover or profit figures for the packaging and labelling operations, beyond saying that they were very profitable. They formed a self-contained part of the overall group, she said.     Analysts said the packaging and labelling division could be sold for up to 150 mln stg.     Earlier this week group chairman Robert Maxwell also said it expected to float its Mirror group newspaper subsidiary, bought from  Reed International Plc REED.L for 100 mln stg in 1984.     The spokeswoman said that BPCC intended to keep a majority share in the newspaper group if it was floated.     BPCC is currently locked in legal battles resulting from its attempt to take over U.S. Publisher Harcourt Brace Jovanovich Inc HBJ. Earlier this week, BPCC launched a two-for-three rights issue to raise 640 mln stg and said the money raised would enable it to renew its assault on Harcourt. It has also expressed interest in Dutch publisher Kluwer NV KLUW.AS.  \n',acq
'C.D. Bramall Plc said in a statement accompanying its annual results that it proposed to acquire Gelco U.K. For some 26.3 mln dlrs.     Part of the cost will be met by the issue of 2.14 mln new ordinary Bramall shares which are being placed at 265p each.     The acquisition will be satisfied by an initial payment of some 25.3 mln dlrs in cash with further payments of 500,000 dlrs up to a maximum 26.3 mln dlrs. These further payments will only be made if profits achieved by Gelco for the year ending July 31, 1987 reach a certain level.     Bramall shares were trading 6p lower at 278p.  \n',acq
'Brenda Mines Ltd said it sold 2,830,390 Kerr Addison Mines Ltd shares to a group of underwriters led by Wood Gundy Inc and Brown, Baldwin Nisker Ltd for redistribution.     Financial terms were undisclosed.  \n',acq
'Brent Walker Group Plc said it had agreed to buy the group of companies comprising Lonrho Plc\'s LRHO.L Metropole Casino Division, together with a freehold in central London, for 121.55 mln stg.     Payment will be in cash on completion except for three mln stg payable on December 1, 1988.     Brent said it also proposed to raise about 126 mln stg net through the issue of 131.67 mln convertible shares at one stg each. The shares can be converted between 1990 and 2002 at the rate of four ordinary shares for every 15 convertibles held.     On full conversion, the issued ordinary share capital of the company would increase by some 64 pct.     Birdcage Walk Ltd, a company controlled by the Walker family, owns 20.68 pct of the shares and is entitled to 27.2 mln convertible shares under the offer. The trustees had indicated that it intended to sell enough of the convertibles, nil paid, to enable it to take up the remainder.     Brent would buy the casino companies and the freehold of 45, Park Lane in London. Under the arrangements, it would also arrange for the repayment of 6.45 mln stg in inter-company debt.     Brent Walker shares firmed sharply on the announcement to 385p from 353p at Friday\'s close, while Lonrho also firmed, to 275p from 265.5p.  \n',acq
'British Petroleum Company PlC BP.L has completed its merger with Standard Oil Co of the U.S. SRD, raising its holding to 100 pct from 55 pct, BP said in a statement.     The acquisition was made through BP\'s wholly-owned subsidiary BP America Inc. BP took a 25 pct stake in Standard in 1970, raising its stake to 53 pct in 1978 and 55 pct in 1984.     BP chairman Sir Peter Walters will be chairman of BP America, while Robert Horton is to be vice-chairman and chief executive officer, with Frank Mosier as president.     BP said further details would be released on July 21.  \n',acq
'Cable and Wireless Plc CAWL.L said it will merge its Hong Kong Telephone Co Ltd TELH.HK and Cable and Wireless (Hong Kong) Ltd units into a new holding firm to be called Hong Kong Telecommunications Ltd.     Under the merger, H.K. Telephone shareholders will receive two H.K. Telecommunication shares at a par value of 50 H.K. Cents for each H.K. Telephone share at par of one dlr.     H.K. Telephone shareholders other than the Cable and Wireless group will receive warrants on a one-for-five basis entitling them to acquire from Cable and Wireless Plc within five years one H.K. Telecom share at 10 dlrs each.     The Cable and Wireless Plc group now holds some 70 pct of H.K. Telephone. It also owns 80 pct of Cable and Wireless (Hong Kong), while the Hong Kong government holds the balance.     Trading in H.K. Telephone shares was suspended on October 15. The shares last traded at 19.30 dlrs.  \n',acq
'Cable and Wireless Plc CAWL.L said its subsidiary Hong Kong Telephone Co Ltd would cease to be a listed company, following the restructure of the company\'s Hong Kong units.     Earlier today the company announced that Hong Kong Telephone and Cable and Wireless Hong Kong, in which the territory\'s government has a 20 pct stake, would become subsidiaries of a newly formed holding company, Hong Kong Telecommunications.     In exchange for the Cable and Wireless Hong Kong capital, Hong Kong Telecommunications will issue 4.18 billion new shares to Cable and Wireless Plc\'s Cable and Wireless (Far East) Ltd.     That subsidiary now holds the group\'s 80 pct stake in Cable and Wireless Hong Kong and about 22 pct of H.K. Telephone.     It will issue an additional 1.05 billion shares to the goverment.     That will leave the Cable and Wireless group with an 80 pct stake in Hong Kong Telecommunications, the government 11 pct and nine pct in public hands.     But that will be reduced early next year after a placement of 11 pct of the issued shares of Hong Kong Telecommunications by both Cable and Wireless and the government.  \n',acq
'Cadillac Fairview Corp Ltd said it received proposals to acquire the company, following its announcement last August that it had retained investment dealers to solicit offers for all outstanding common shares.     Cadillac Fairview said the offers are subject to clarification and negotiation and offered no further details.  \n',acq
'Campeau Corp said it is not involved in the Securities and Exchange Commission\'s administrative proceeding against Allied Stores Corp, which Campeau acquired at the end of last year.     In a statement, the company said, \"The SEC action involves events that occurred prior to Campeau\'s acquisition of Allied relating to the alleged failure of Allied to make certain disclosures. Consequently, Campeau is not subject to the procedings.\"  \n',acq
'Investment Canada said it has allowed the indirect takeover of Holt, Rinehart and Winston Canada Ltd., W.B. Saunders Co of Canada Ltd and Les Editions HRW Ltd by Harcourt Brace Jovanovich Canada Inc.     The government agency said, however, Harcourt Canada has agreed to sell control of the firms to Canadian interests within two years.     Harcourt Canada\'s U.S. parent, Harcourt Brace Jovanovich Inc HBJ, indirectly acquired the Canadian book publishing companies when it purchased Holt Rinehart and Winston from CBS Inc CBS last October.             \n',acq
'Finance Minister Michael Wilson said it was too early to comment on the tax implications of TransCanada PipeLines Ltd\'s 4.3 billion dlr offer for Dome Petroleum Ltd.     \"The specific offer by TransCanada is just in the course of being made and we don\'t have the details of all the elements of the proposal,\" Wilson told the House of Commons daily question period.     Opposition parties were questioning Wilson about a possible loss of tax revenue if the takeover was completed because of the large tax credits held by Dome.                 \n',acq
'Canadian Bashaw Leduc Oil and Gas Ltd said it agreed to merge with Erskine Resources Ltd. Terms were not disclosed.     Ownership of the combined company with 18.8 pct for the current shareholders of Canadian Bashaw and 81.2 pct to the current shareholders of Erskine, the companies said.  \n',acq
'Cascade Importers Inc USA\'s Cascade International Europa GmbH of West Germany, said it tentatively acquired worldwide rights for the products of Madam Gre from the Bernard Tapie Group in Paris.     The agreement calls for Cascade to have the rights for the manufacturing and trading of perfumes, skin care and treatment products, and cosmetics of the group, it said.     Cascade said the agreement also includes the exclusive rights to trade through duty-free channels worldwide the designer Gres accessories.     In addition, Cascade said it was granted an option to purchase all the assets including the plant and equipment located in France.      The company said the cosmetic product line in the U.S. market alone could represent 20 mln dlrs in revenue.  \n',acq
'CBC Bancorp Inc said it will be acquired by the Memphis-based Union Planters Corp UPCM.O in a merger agreement.     Details were not disclosed.     CBC, which is the holding company which owns Cookeville\'s Citizens Bank, said it has signed an agreement which would merge CBC with Union, which has 2.2 billion dlrs in assets.     According to CBC, Union reported shareholders equity of nearly 190 mln dlrs for the period ending March 31.     CBC said the merger will not affect Citizens Banks\' name, management, board of directors or employees.  \n',acq
'CCL Industries Inc said it purchased a majority interest in Monobloc U.S.A. from Envases Metalurgicos de Alava of Spain.     Terms were not disclosed.     CCL also said it agreed to exchange present and future technology with Envases.  \n',acq
'The Chase Manhattan Bank, a unit of The Chase Manhattan Corp CMB, said it acquired a portfolio of about 190,000 consumer revolving credit accounts from Atlantic Financial Federal ATLF.O valued at 370 mln dlrs.     The company said the acquisition makes Chase the second largest issuer of credit card and other unsecured consumer credit loans.     Outstandings now exceed 5.6 billion dlrs, the company said.     The company said the portfolio, accessed by checks, is similar to Chase\'s Advantage Credit product.  \n',acq
'Commonwealth Aluminum (Comalco) said it put its Goldendale, Wash., smelter back on the market after would-be buyer, Columbia Aluminum Corp, of Hermiston, Ore., failed to pull together financing by an April one deadline.     The plant, which has an asking price of 18.7 mln dlrs plus several mln more dlrs for inventory, it said. Commonwealth said it is continuing talks with Columbia, but has also opened talks with other interested parties.     Commonwealth bought the plant in January 1985 and closed it Feb 15, 1987, leaving about 400 workers jobless.     \n',acq
'Computerland Corp said an investor group led by the financial services firm E.M. Warburg Pincus and Co Inc has agreed to acquire Computerland\'s business.     Computerland, a privately-held company said to be the world\'s largest retailer of personal computers, declined to provide details of the arrangement.     But the company said it expects to close the acquisition over the next 60 to 90 days.     In announcing the transaction, Computerland said the acquisition will provide it with resources and support to maintain and expand its leadership position in the computer retail industry.     Computerland also said its network retail sales in 1986 totalled 1.45 billion dlrs.  \n',acq
'Corby Distilleries Ltd, 52 pct owned by Allied Lyons Plc ALLD.L subsidiary Hiram Walker-Goodman &amp; Worts is to buy the spirits business of McGuinness Distillers Ltd of Toronto for 45 mln Canadian dlrs.     McGuinness is a producer and marketer of spirits and also has exclusive agencies for some imported wines and spirits.     The sale is subject to the approval of the Bureau of Competition Policy. Michael Jackaman, president and chief executive officer of Hiram Walker and Allied Vintners, said, \"The acquisition is an excellent one both commercially and financially.\"  \n',acq
'Whim Creek Consolidated NL said the consortium it is leading will pay 76.55 mln dlrs for the acquisition of CRA Ltd\'s CRAA.S Forrest Gold Pty Ltd unit, reported yesterday.     CRA and Whim Creek did not disclose the price yesterday.     Whim Creek will hold 44 pct of the consortium, while Austwhim Resources NL will hold 27 pct and Croesus Mining NL 29 pct, it said in a statement.     As reported, Forrest Gold owns two mines in Western Australia producing a combined 37,000 ounces of gold a year. It also owns an undeveloped gold project.  \n',acq
'CSR Ltd CSRA.S said it had declared unconditional its takeover bid for Pioneer Sugar Mills Ltd following Pioneer\'s recommendation that shareholders accept.     This meant Pioneer shareholders would be paid for all shares tendered within 14 days, CSR said in a statement.     CSR\'s statement follows Industrial Equity Ltd\'s INEA.S disclosure yesterday that it had built up a 9.8 pct stake in Pioneer at 2.54 dlrs a share, topping CSR\'s cash bid of 2.50.     CSR is also offering one share, currently worth 4.04 dlrs, plus 1.20 cash, for every two Pioneer shares, which values Pioneer at 2.62 per share. It holds about 33 pct of Pioneer.  \n',acq
'CSR Ltd CSRA.S intends to proceed with its planned bid for building materials group Monier Ltd MNRA.S despite the counter-bid from Equiticorp Tasman Ltd (ETL), CSR executive director Gene Herbert tolds.     ETL said today it would offer 4.15 dlrs each for Monier\'s issued capital of 156.28 mln shares, plus a share alternative. This compares with a 3.80 dlr cash element in CSR\'s proposed bid.     The proposed offer by ETL, controlled by New Zealand entrepreneur Allan Hawkins, came after it built up a 14.99 pct stake in Monier in a 95 mln dlr share raid in recent days.      Herbert said Britain\'s Redland Plc RDLD.L, which holds just under 50 pct of Monier, still supported the CSR bid and had told CSR it is not a seller.     He said Redland wanted to maintain and build on its operations in Australia and the U.S., Where Monier has built up a strong presence, notably in roofing tile manufacture.     The CSR offer contains a put and call option agreement with Redland. This enables Redland to accept the CSR bid within six months of its close or to lift its stake to 50.1 pct in the same period and to run Monier as a joint venture with CSR.     CSR has said that Redland will take up the second option.      ETL has declined to say why it intervened in Monier, beyond describing it as a long term investment.     ETL would bring no synergies to Monier, unlike CSR which is a leader in building materials, Herbert said.     \"We fit better with Monier,\" he said.     CSR has said that it will concentrate development on its core businesses of sugar and building materials after its moves into energy several years ago.     Asked what he thought ETL\'s bid sought to achieve, Herbert said: \"I\'m puzzled as to what Hawkins\' strategy is. One has to wonder if Monier is the main target.\"      Herbert said CSR had no plans to raise its bid, and said a higher price would be difficult to justify on fundamentals.     Monier was trading at 2.80 dlrs when CSR launched its original bid of 3.50, or 16.8 times earnings, in late April.     The shares closed at 3.90 dlrs today, down 25 cents on yesterday, after ETL withdrew on reaching the top foreign shareholding level permitted without Foreign Investment Review Board (FIRB) approval. Its bid is subject to FIRB approval.     Herbert also said that institutions, which are more likely to accept a share alternative than cash, would have to judge the respective values of ETL and CSR shares.      ETL is the third group to become involved in a possible acquisition of Monier this year. Redland held discussions on a possible takeover before the CSR bid emerged but the negotiations foundered on the price.     Share analysts said that for this reason, they did not think ETL\'s intervention would flush out a full Redland bid although Monier\'s ultimate fate rests in its hands.     \"Redland is still in the driving seat,\" said Tim Cohen of Ord Minnett Ltd, adding that Redland would be happier having CSR as a partner in running Monier than ETL.     Monier\'s independent directors have recommended ETL\'s bid.   \n',acq
'CSR Ltd CSRA.S said its sale of Delhi Petroleum Pty Ltd will not affect the other oil and gas interests it manages or operates.     CSR sold Delhi, which holds an average 25 pct in the Santos Ltd STOS.S-led Cooper-Eromanga Basin onshore gas and liquids joint ventures, to an Exxon Corp XON unit for 985 mln dlrs on April 1.     In a statement to clarify the position, CSR said it will retain its Roma Gas unit, the associated Roma-Brisbane gas pipeline and the Bula oilfield on Seram, Indonesia, plus exploration interests in Queensland and Hainan Island, China.  \n',acq
'Dairy Farm International Holdings Ltd said in a statement it is making a tender offer for 22 pct of Kwik Save Discount Group Plc KWIK.L of Britain for a total 146.6 mln stg.     Dairy Farm said it will offer to buy up to 32.58 mln Kwik Save shares at 4.50 stg each.     The offer will bring Dairy Farm\'s stake in Kwik Save to 25 pct from the present 3.5 pct, or 5.25 mln shares.     The offer, which will begin on Monday and ends June 30, requires that the shares tendered will bring its stake to at least 15 pct.     Dairy Farm said it will finance the acquisition by placing 89 mln shares with affiliate Jardine Strategic Holdings Ltd JARS.HK at 5.10 H.K. Dlrs each for a total of 454 mln dlrs.     The placement will raise Jardine Strategic\'s stake in Dairy Farm to 39.75 pct from the current 35.3 pct.     It said the Kwik Save purchase will also be financed with a loan from the Hongkong and Shanghai Banking Corp HKBH.HK. It did not give the size of the loan but it said it would raise its net bank borrowings to a maximum of 2.2 billion H.K. Dlrs.     Dairy Farm said it would reduce its bank borrowings by the proceeds from the previously announced sale of its office building in Sydney for 625 mln dlrs.     It will consider raising additional capital, most probably through a placement of convertible preference shares in the Euromarket, it added.     Company chairman Simon Keswick said the U.K. Market \"offers attractive opportunities for competitively priced food retailers\" and that \"a strategic investment in Kwik Save offers the best vehicle to pursue those opportunities.\"  \n',acq
'Diversified Industries Inc plans to recover more than four mln dlrs from the sale of two marginal subsidiaries, chairman Ben Fixman told the annual meeting.     Fixman said Diversified Industries, as part of its effort to redeploy assets, wants to sell its Theodore Sall Inc and Liberty Smelting Works (1962) Ltd units. The two either lost money or had marginal profitability in recent years, he said.     Diversified also said it is in the process of obtaining six mln dlrs in an industrial revenue bond financing from the State of Connecticut to modernize the company\'s Plume and Atwood Brass Mill plant in Thomaston, Conn.  \n',acq
